# Monster spawn data generated from DumpStaticGridOccupancyLog()
#
# Mega grid layout in world space (+Z upward):
# 7 8 9
# 4 5 6
# 1 2 3
#
# ID rule: mega_id = mega_z * 3 + mega_x + 1
# Internal mega coords are 0-based.
#
CONFIG|grid_min=(-600,-200)|grid_max_exclusive=(600,1000)|grid_size=(1200,1200)|mega_grid_size=(400,400)|center_spawn_size=(200,200)|allow_shared_non_boss_cells=0|rng_seed=20260416
SPAWN|index=16|type="Ghoul"|mega_id=1|mega=(0,0)|pos=(-395,0,-36)|yaw_deg=259.893|rot=(0.000000,0.766646,0.000000,-0.642070)|rule=zero_cell_in_center_200x200
SPAWN|index=17|type="Ghoul"|mega_id=1|mega=(0,0)|pos=(-378,0,-74)|yaw_deg=60.905|rot=(0.000000,0.506827,0.000000,0.862048)|rule=zero_cell_in_center_200x200
SPAWN|index=18|type="Ghoul"|mega_id=1|mega=(0,0)|pos=(-305,0,35)|yaw_deg=319.376|rot=(0.000000,0.347133,0.000000,-0.937816)|rule=zero_cell_in_center_200x200
SPAWN|index=19|type="Ghoul"|mega_id=1|mega=(0,0)|pos=(-420,0,98)|yaw_deg=339.833|rot=(0.000000,0.175082,0.000000,-0.984554)|rule=zero_cell_in_center_200x200
SPAWN|index=20|type="Ghoul"|mega_id=1|mega=(0,0)|pos=(-357,0,-85)|yaw_deg=193.109|rot=(0.000000,0.993463,0.000000,-0.114152)|rule=zero_cell_in_center_200x200
SPAWN|index=21|type="Ghoul"|mega_id=1|mega=(0,0)|pos=(-434,0,-6)|yaw_deg=273.107|rot=(0.000000,0.687677,0.000000,-0.726017)|rule=zero_cell_in_center_200x200
SPAWN|index=22|type="Ghoul"|mega_id=1|mega=(0,0)|pos=(-359,0,54)|yaw_deg=26.901|rot=(0.000000,0.232603,0.000000,0.972572)|rule=zero_cell_in_center_200x200
SPAWN|index=23|type="Ghoul"|mega_id=1|mega=(0,0)|pos=(-498,0,2)|yaw_deg=237.506|rot=(0.000000,0.876703,0.000000,-0.481033)|rule=zero_cell_in_center_200x200
SPAWN|index=24|type="Ghoul"|mega_id=1|mega=(0,0)|pos=(-441,0,62)|yaw_deg=153.726|rot=(0.000000,0.973829,0.000000,0.227281)|rule=zero_cell_in_center_200x200
SPAWN|index=25|type="Ghoul"|mega_id=1|mega=(0,0)|pos=(-319,0,69)|yaw_deg=24.021|rot=(0.000000,0.208093,0.000000,0.978109)|rule=zero_cell_in_center_200x200
SPAWN|index=26|type="Ghoul"|mega_id=1|mega=(0,0)|pos=(-441,0,73)|yaw_deg=11.644|rot=(0.000000,0.101441,0.000000,0.994842)|rule=zero_cell_in_center_200x200
SPAWN|index=27|type="Ghoul"|mega_id=1|mega=(0,0)|pos=(-484,0,-19)|yaw_deg=66.857|rot=(0.000000,0.550895,0.000000,0.834575)|rule=zero_cell_in_center_200x200
SPAWN|index=28|type="Ghoul"|mega_id=1|mega=(0,0)|pos=(-343,0,-47)|yaw_deg=9.695|rot=(0.000000,0.084507,0.000000,0.996423)|rule=zero_cell_in_center_200x200
SPAWN|index=29|type="Ghoul"|mega_id=1|mega=(0,0)|pos=(-425,0,23)|yaw_deg=71.766|rot=(0.000000,0.586134,0.000000,0.810214)|rule=zero_cell_in_center_200x200
SPAWN|index=30|type="Ghoul"|mega_id=1|mega=(0,0)|pos=(-350,0,-76)|yaw_deg=306.988|rot=(0.000000,0.446290,0.000000,-0.894888)|rule=zero_cell_in_center_200x200
SPAWN|index=31|type="Ghoul"|mega_id=1|mega=(0,0)|pos=(-428,0,-72)|yaw_deg=233.699|rot=(0.000000,0.892194,0.000000,-0.451652)|rule=zero_cell_in_center_200x200
SPAWN|index=32|type="Ghoul"|mega_id=1|mega=(0,0)|pos=(-473,0,-35)|yaw_deg=328.957|rot=(0.000000,0.267598,0.000000,-0.963531)|rule=zero_cell_in_center_200x200
SPAWN|index=33|type="Ghoul"|mega_id=1|mega=(0,0)|pos=(-459,0,-4)|yaw_deg=120.502|rot=(0.000000,0.868206,0.000000,0.496204)|rule=zero_cell_in_center_200x200
SPAWN|index=34|type="Ghoul"|mega_id=1|mega=(0,0)|pos=(-446,0,-96)|yaw_deg=85.324|rot=(0.000000,0.677671,0.000000,0.735365)|rule=zero_cell_in_center_200x200
SPAWN|index=35|type="Ghoul"|mega_id=1|mega=(0,0)|pos=(-435,0,59)|yaw_deg=156.990|rot=(0.000000,0.979907,0.000000,0.199454)|rule=zero_cell_in_center_200x200
SPAWN|index=36|type="Ghoul"|mega_id=1|mega=(0,0)|pos=(-482,0,55)|yaw_deg=257.708|rot=(0.000000,0.778749,0.000000,-0.627336)|rule=zero_cell_in_center_200x200
SPAWN|index=37|type="Ghoul"|mega_id=1|mega=(0,0)|pos=(-484,0,23)|yaw_deg=339.766|rot=(0.000000,0.175660,0.000000,-0.984451)|rule=zero_cell_in_center_200x200
SPAWN|index=38|type="Ghoul"|mega_id=1|mega=(0,0)|pos=(-401,0,91)|yaw_deg=66.651|rot=(0.000000,0.549392,0.000000,0.835565)|rule=zero_cell_in_center_200x200
SPAWN|index=39|type="Ghoul"|mega_id=1|mega=(0,0)|pos=(-327,0,-2)|yaw_deg=192.046|rot=(0.000000,0.994480,0.000000,-0.104924)|rule=zero_cell_in_center_200x200
SPAWN|index=40|type="Ghoul"|mega_id=1|mega=(0,0)|pos=(-463,0,24)|yaw_deg=347.283|rot=(0.000000,0.110753,0.000000,-0.993848)|rule=zero_cell_in_center_200x200
SPAWN|index=41|type="Ghoul"|mega_id=1|mega=(0,0)|pos=(-390,0,48)|yaw_deg=81.718|rot=(0.000000,0.654201,0.000000,0.756321)|rule=zero_cell_in_center_200x200
SPAWN|index=42|type="Ghoul"|mega_id=1|mega=(0,0)|pos=(-381,0,61)|yaw_deg=117.662|rot=(0.000000,0.855643,0.000000,0.517567)|rule=zero_cell_in_center_200x200
SPAWN|index=43|type="Ghoul"|mega_id=1|mega=(0,0)|pos=(-435,0,11)|yaw_deg=336.796|rot=(0.000000,0.201115,0.000000,-0.979568)|rule=zero_cell_in_center_200x200
SPAWN|index=44|type="Ghoul"|mega_id=1|mega=(0,0)|pos=(-411,0,-81)|yaw_deg=343.132|rot=(0.000000,0.146674,0.000000,-0.989185)|rule=zero_cell_in_center_200x200
SPAWN|index=45|type="Ghoul"|mega_id=1|mega=(0,0)|pos=(-463,0,39)|yaw_deg=116.652|rot=(0.000000,0.851047,0.000000,0.525089)|rule=zero_cell_in_center_200x200
SPAWN|index=46|type="Ghoul"|mega_id=1|mega=(0,0)|pos=(-483,0,-67)|yaw_deg=243.865|rot=(0.000000,0.848674,0.000000,-0.528917)|rule=zero_cell_in_center_200x200
SPAWN|index=47|type="Ghoul"|mega_id=1|mega=(0,0)|pos=(-493,0,7)|yaw_deg=13.583|rot=(0.000000,0.118258,0.000000,0.992983)|rule=zero_cell_in_center_200x200
SPAWN|index=48|type="Ghoul"|mega_id=1|mega=(0,0)|pos=(-321,0,3)|yaw_deg=158.363|rot=(0.000000,0.982227,0.000000,0.187699)|rule=zero_cell_in_center_200x200
SPAWN|index=49|type="Ghoul"|mega_id=1|mega=(0,0)|pos=(-354,0,-20)|yaw_deg=155.627|rot=(0.000000,0.977466,0.000000,0.211093)|rule=zero_cell_in_center_200x200
SPAWN|index=50|type="Ghoul"|mega_id=1|mega=(0,0)|pos=(-423,0,74)|yaw_deg=23.875|rot=(0.000000,0.206845,0.000000,0.978374)|rule=zero_cell_in_center_200x200
SPAWN|index=51|type="Ghoul"|mega_id=1|mega=(0,0)|pos=(-423,0,-34)|yaw_deg=93.206|rot=(0.000000,0.726609,0.000000,0.687051)|rule=zero_cell_in_center_200x200
SPAWN|index=52|type="Ghoul"|mega_id=1|mega=(0,0)|pos=(-423,0,-36)|yaw_deg=172.042|rot=(0.000000,0.997590,0.000000,0.069391)|rule=zero_cell_in_center_200x200
SPAWN|index=53|type="Ghoul"|mega_id=1|mega=(0,0)|pos=(-467,0,-55)|yaw_deg=353.650|rot=(0.000000,0.055390,0.000000,-0.998465)|rule=zero_cell_in_center_200x200
SPAWN|index=54|type="Ghoul"|mega_id=1|mega=(0,0)|pos=(-305,0,-51)|yaw_deg=132.725|rot=(0.000000,0.916101,0.000000,0.400948)|rule=zero_cell_in_center_200x200
SPAWN|index=55|type="Ghoul"|mega_id=1|mega=(0,0)|pos=(-360,0,80)|yaw_deg=248.072|rot=(0.000000,0.828688,0.000000,-0.559711)|rule=zero_cell_in_center_200x200
SPAWN|index=56|type="Ghoul"|mega_id=1|mega=(0,0)|pos=(-382,0,75)|yaw_deg=31.270|rot=(0.000000,0.269508,0.000000,0.962998)|rule=zero_cell_in_center_200x200
SPAWN|index=57|type="Ghoul"|mega_id=1|mega=(0,0)|pos=(-373,0,11)|yaw_deg=69.044|rot=(0.000000,0.566725,0.000000,0.823907)|rule=zero_cell_in_center_200x200
SPAWN|index=58|type="Ghoul"|mega_id=1|mega=(0,0)|pos=(-332,0,26)|yaw_deg=35.173|rot=(0.000000,0.302148,0.000000,0.953261)|rule=zero_cell_in_center_200x200
SPAWN|index=59|type="Ghoul"|mega_id=1|mega=(0,0)|pos=(-380,0,54)|yaw_deg=135.284|rot=(0.000000,0.924824,0.000000,0.380395)|rule=zero_cell_in_center_200x200
SPAWN|index=60|type="Ghoul"|mega_id=1|mega=(0,0)|pos=(-424,0,92)|yaw_deg=103.142|rot=(0.000000,0.783378,0.000000,0.621545)|rule=zero_cell_in_center_200x200
SPAWN|index=61|type="Ghoul"|mega_id=1|mega=(0,0)|pos=(-497,0,54)|yaw_deg=350.984|rot=(0.000000,0.078596,0.000000,-0.996907)|rule=zero_cell_in_center_200x200
SPAWN|index=62|type="Ghoul"|mega_id=1|mega=(0,0)|pos=(-470,0,82)|yaw_deg=339.334|rot=(0.000000,0.179366,0.000000,-0.983782)|rule=zero_cell_in_center_200x200
SPAWN|index=63|type="Ghoul"|mega_id=1|mega=(0,0)|pos=(-389,0,-3)|yaw_deg=189.750|rot=(0.000000,0.996383,0.000000,-0.084981)|rule=zero_cell_in_center_200x200
SPAWN|index=64|type="Ghoul"|mega_id=1|mega=(0,0)|pos=(-451,0,-72)|yaw_deg=161.275|rot=(0.000000,0.986678,0.000000,0.162683)|rule=zero_cell_in_center_200x200
SPAWN|index=65|type="Ghoul"|mega_id=1|mega=(0,0)|pos=(-479,0,64)|yaw_deg=143.014|rot=(0.000000,0.948363,0.000000,0.317189)|rule=zero_cell_in_center_200x200
SPAWN|index=66|type="Ghoul"|mega_id=1|mega=(0,0)|pos=(-333,0,65)|yaw_deg=302.417|rot=(0.000000,0.481622,0.000000,-0.876379)|rule=zero_cell_in_center_200x200
SPAWN|index=67|type="Ghoul"|mega_id=1|mega=(0,0)|pos=(-469,0,71)|yaw_deg=256.397|rot=(0.000000,0.785871,0.000000,-0.618390)|rule=zero_cell_in_center_200x200
SPAWN|index=68|type="Ghoul"|mega_id=1|mega=(0,0)|pos=(-385,0,48)|yaw_deg=275.161|rot=(0.000000,0.674552,0.000000,-0.738228)|rule=zero_cell_in_center_200x200
SPAWN|index=69|type="Ghoul"|mega_id=1|mega=(0,0)|pos=(-367,0,13)|yaw_deg=148.000|rot=(0.000000,0.961263,0.000000,0.275634)|rule=zero_cell_in_center_200x200
SPAWN|index=70|type="Ghoul"|mega_id=1|mega=(0,0)|pos=(-455,0,-30)|yaw_deg=338.148|rot=(0.000000,0.189541,0.000000,-0.981873)|rule=zero_cell_in_center_200x200
SPAWN|index=71|type="Ghoul"|mega_id=1|mega=(0,0)|pos=(-380,0,-44)|yaw_deg=83.444|rot=(0.000000,0.665517,0.000000,0.746383)|rule=zero_cell_in_center_200x200
SPAWN|index=72|type="Ghoul"|mega_id=1|mega=(0,0)|pos=(-408,0,-7)|yaw_deg=234.257|rot=(0.000000,0.889988,0.000000,-0.455984)|rule=zero_cell_in_center_200x200
SPAWN|index=73|type="Ghoul"|mega_id=1|mega=(0,0)|pos=(-421,0,-67)|yaw_deg=310.864|rot=(0.000000,0.415773,0.000000,-0.909468)|rule=zero_cell_in_center_200x200
SPAWN|index=74|type="Ghoul"|mega_id=1|mega=(0,0)|pos=(-405,0,36)|yaw_deg=119.447|rot=(0.000000,0.863602,0.000000,0.504174)|rule=zero_cell_in_center_200x200
SPAWN|index=75|type="Ghoul"|mega_id=1|mega=(0,0)|pos=(-370,0,30)|yaw_deg=228.638|rot=(0.000000,0.911268,0.000000,-0.411814)|rule=zero_cell_in_center_200x200
SPAWN|index=76|type="Ghoul"|mega_id=1|mega=(0,0)|pos=(-328,0,-48)|yaw_deg=203.737|rot=(0.000000,0.978622,0.000000,-0.205666)|rule=zero_cell_in_center_200x200
SPAWN|index=77|type="Ghoul"|mega_id=1|mega=(0,0)|pos=(-386,0,-71)|yaw_deg=26.170|rot=(0.000000,0.226400,0.000000,0.974034)|rule=zero_cell_in_center_200x200
SPAWN|index=78|type="Ghoul"|mega_id=1|mega=(0,0)|pos=(-461,0,-94)|yaw_deg=319.395|rot=(0.000000,0.346980,0.000000,-0.937873)|rule=zero_cell_in_center_200x200
SPAWN|index=79|type="Ghoul"|mega_id=1|mega=(0,0)|pos=(-469,0,86)|yaw_deg=162.716|rot=(0.000000,0.988647,0.000000,0.150257)|rule=zero_cell_in_center_200x200
SPAWN|index=80|type="Ghoul"|mega_id=1|mega=(0,0)|pos=(-445,0,-90)|yaw_deg=322.432|rot=(0.000000,0.322002,0.000000,-0.946739)|rule=zero_cell_in_center_200x200
SPAWN|index=81|type="Ghoul"|mega_id=1|mega=(0,0)|pos=(-382,0,-68)|yaw_deg=36.908|rot=(0.000000,0.316539,0.000000,0.948579)|rule=zero_cell_in_center_200x200
SPAWN|index=82|type="Ghoul"|mega_id=1|mega=(0,0)|pos=(-455,0,-14)|yaw_deg=141.882|rot=(0.000000,0.945183,0.000000,0.326542)|rule=zero_cell_in_center_200x200
SPAWN|index=83|type="Ghoul"|mega_id=1|mega=(0,0)|pos=(-328,0,-16)|yaw_deg=216.330|rot=(0.000000,0.950163,0.000000,-0.311752)|rule=zero_cell_in_center_200x200
SPAWN|index=84|type="Ghoul"|mega_id=1|mega=(0,0)|pos=(-451,0,30)|yaw_deg=222.375|rot=(0.000000,0.932402,0.000000,-0.361422)|rule=zero_cell_in_center_200x200
SPAWN|index=85|type="Ghoul"|mega_id=1|mega=(0,0)|pos=(-409,0,52)|yaw_deg=128.116|rot=(0.000000,0.899237,0.000000,0.437461)|rule=zero_cell_in_center_200x200
SPAWN|index=86|type="Ghoul"|mega_id=1|mega=(0,0)|pos=(-367,0,-9)|yaw_deg=210.181|rot=(0.000000,0.965516,0.000000,-0.260344)|rule=zero_cell_in_center_200x200
SPAWN|index=87|type="Ghoul"|mega_id=1|mega=(0,0)|pos=(-332,0,32)|yaw_deg=83.765|rot=(0.000000,0.667606,0.000000,0.744515)|rule=zero_cell_in_center_200x200
SPAWN|index=88|type="Ghoul"|mega_id=1|mega=(0,0)|pos=(-471,0,-40)|yaw_deg=337.319|rot=(0.000000,0.196638,0.000000,-0.980476)|rule=zero_cell_in_center_200x200
SPAWN|index=89|type="Ghoul"|mega_id=1|mega=(0,0)|pos=(-406,0,-5)|yaw_deg=36.438|rot=(0.000000,0.312647,0.000000,0.949869)|rule=zero_cell_in_center_200x200
SPAWN|index=90|type="Ghoul"|mega_id=1|mega=(0,0)|pos=(-316,0,0)|yaw_deg=293.219|rot=(0.000000,0.550341,0.000000,-0.834940)|rule=zero_cell_in_center_200x200
SPAWN|index=91|type="Ghoul"|mega_id=1|mega=(0,0)|pos=(-456,0,-89)|yaw_deg=329.179|rot=(0.000000,0.265735,0.000000,-0.964046)|rule=zero_cell_in_center_200x200
SPAWN|index=92|type="BowMan"|mega_id=1|mega=(0,0)|pos=(-497,0,65)|yaw_deg=211.235|rot=(0.000000,0.963081,0.000000,-0.269212)|rule=zero_cell_in_center_200x200
SPAWN|index=93|type="BowMan"|mega_id=1|mega=(0,0)|pos=(-409,0,27)|yaw_deg=27.891|rot=(0.000000,0.241000,0.000000,0.970525)|rule=zero_cell_in_center_200x200
SPAWN|index=94|type="BowMan"|mega_id=1|mega=(0,0)|pos=(-472,0,80)|yaw_deg=343.461|rot=(0.000000,0.143830,0.000000,-0.989602)|rule=zero_cell_in_center_200x200
SPAWN|index=95|type="BowMan"|mega_id=1|mega=(0,0)|pos=(-468,0,-33)|yaw_deg=118.727|rot=(0.000000,0.860416,0.000000,0.509592)|rule=zero_cell_in_center_200x200
SPAWN|index=96|type="BowMan"|mega_id=1|mega=(0,0)|pos=(-304,0,-50)|yaw_deg=251.617|rot=(0.000000,0.810976,0.000000,-0.585079)|rule=zero_cell_in_center_200x200
SPAWN|index=97|type="BowMan"|mega_id=1|mega=(0,0)|pos=(-328,0,33)|yaw_deg=304.515|rot=(0.000000,0.465497,0.000000,-0.885050)|rule=zero_cell_in_center_200x200
SPAWN|index=98|type="BowMan"|mega_id=1|mega=(0,0)|pos=(-378,0,-98)|yaw_deg=94.144|rot=(0.000000,0.732209,0.000000,0.681080)|rule=zero_cell_in_center_200x200
SPAWN|index=99|type="BowMan"|mega_id=1|mega=(0,0)|pos=(-457,0,-41)|yaw_deg=288.024|rot=(0.000000,0.587617,0.000000,-0.809139)|rule=zero_cell_in_center_200x200
SPAWN|index=100|type="Ghoul"|mega_id=2|mega=(1,0)|pos=(-5,0,65)|yaw_deg=88.705|rot=(0.000000,0.699072,0.000000,0.715051)|rule=zero_cell_in_center_200x200
SPAWN|index=101|type="Ghoul"|mega_id=2|mega=(1,0)|pos=(56,0,96)|yaw_deg=330.953|rot=(0.000000,0.250776,0.000000,-0.968045)|rule=zero_cell_in_center_200x200
SPAWN|index=102|type="Ghoul"|mega_id=2|mega=(1,0)|pos=(-81,0,-70)|yaw_deg=50.158|rot=(0.000000,0.423870,0.000000,0.905723)|rule=zero_cell_in_center_200x200
SPAWN|index=103|type="Ghoul"|mega_id=2|mega=(1,0)|pos=(24,0,15)|yaw_deg=204.398|rot=(0.000000,0.977420,0.000000,-0.211304)|rule=zero_cell_in_center_200x200
SPAWN|index=104|type="Ghoul"|mega_id=2|mega=(1,0)|pos=(-34,0,49)|yaw_deg=0.317|rot=(0.000000,0.002763,0.000000,0.999996)|rule=zero_cell_in_center_200x200
SPAWN|index=105|type="Ghoul"|mega_id=2|mega=(1,0)|pos=(70,0,20)|yaw_deg=51.517|rot=(0.000000,0.434578,0.000000,0.900634)|rule=zero_cell_in_center_200x200
SPAWN|index=106|type="Ghoul"|mega_id=2|mega=(1,0)|pos=(-6,0,-60)|yaw_deg=138.990|rot=(0.000000,0.936643,0.000000,0.350286)|rule=zero_cell_in_center_200x200
SPAWN|index=107|type="Ghoul"|mega_id=2|mega=(1,0)|pos=(41,0,10)|yaw_deg=334.225|rot=(0.000000,0.223041,0.000000,-0.974809)|rule=zero_cell_in_center_200x200
SPAWN|index=108|type="Ghoul"|mega_id=2|mega=(1,0)|pos=(96,0,20)|yaw_deg=170.691|rot=(0.000000,0.996702,0.000000,0.081145)|rule=zero_cell_in_center_200x200
SPAWN|index=109|type="Ghoul"|mega_id=2|mega=(1,0)|pos=(28,0,87)|yaw_deg=162.669|rot=(0.000000,0.988585,0.000000,0.150662)|rule=zero_cell_in_center_200x200
SPAWN|index=110|type="Ghoul"|mega_id=2|mega=(1,0)|pos=(-46,0,-45)|yaw_deg=347.804|rot=(0.000000,0.106227,0.000000,-0.994342)|rule=zero_cell_in_center_200x200
SPAWN|index=111|type="Ghoul"|mega_id=2|mega=(1,0)|pos=(62,0,70)|yaw_deg=230.892|rot=(0.000000,0.902990,0.000000,-0.429662)|rule=zero_cell_in_center_200x200
SPAWN|index=112|type="Ghoul"|mega_id=2|mega=(1,0)|pos=(-93,0,63)|yaw_deg=280.806|rot=(0.000000,0.637386,0.000000,-0.770545)|rule=zero_cell_in_center_200x200
SPAWN|index=113|type="Ghoul"|mega_id=2|mega=(1,0)|pos=(-11,0,79)|yaw_deg=305.481|rot=(0.000000,0.458025,0.000000,-0.888939)|rule=zero_cell_in_center_200x200
SPAWN|index=114|type="Ghoul"|mega_id=2|mega=(1,0)|pos=(0,0,70)|yaw_deg=117.181|rot=(0.000000,0.853465,0.000000,0.521150)|rule=zero_cell_in_center_200x200
SPAWN|index=115|type="Ghoul"|mega_id=2|mega=(1,0)|pos=(-78,0,-6)|yaw_deg=253.119|rot=(0.000000,0.803237,0.000000,-0.595660)|rule=zero_cell_in_center_200x200
SPAWN|index=116|type="Ghoul"|mega_id=2|mega=(1,0)|pos=(-16,0,-62)|yaw_deg=120.717|rot=(0.000000,0.869137,0.000000,0.494572)|rule=zero_cell_in_center_200x200
SPAWN|index=117|type="Ghoul"|mega_id=2|mega=(1,0)|pos=(-85,0,-11)|yaw_deg=41.931|rot=(0.000000,0.357802,0.000000,0.933797)|rule=zero_cell_in_center_200x200
SPAWN|index=118|type="Ghoul"|mega_id=2|mega=(1,0)|pos=(-86,0,19)|yaw_deg=92.266|rot=(0.000000,0.720949,0.000000,0.692988)|rule=zero_cell_in_center_200x200
SPAWN|index=119|type="Ghoul"|mega_id=2|mega=(1,0)|pos=(-98,0,-52)|yaw_deg=111.183|rot=(0.000000,0.825031,0.000000,0.565087)|rule=zero_cell_in_center_200x200
SPAWN|index=120|type="Ghoul"|mega_id=2|mega=(1,0)|pos=(70,0,-43)|yaw_deg=49.399|rot=(0.000000,0.417861,0.000000,0.908511)|rule=zero_cell_in_center_200x200
SPAWN|index=121|type="Ghoul"|mega_id=2|mega=(1,0)|pos=(-5,0,22)|yaw_deg=294.754|rot=(0.000000,0.539107,0.000000,-0.842237)|rule=zero_cell_in_center_200x200
SPAWN|index=122|type="Ghoul"|mega_id=2|mega=(1,0)|pos=(70,0,-10)|yaw_deg=129.672|rot=(0.000000,0.905094,0.000000,0.425212)|rule=zero_cell_in_center_200x200
SPAWN|index=123|type="Ghoul"|mega_id=2|mega=(1,0)|pos=(-16,0,84)|yaw_deg=26.118|rot=(0.000000,0.225957,0.000000,0.974137)|rule=zero_cell_in_center_200x200
